Tamaño,Tiempo (microsegundos)
240,69
467,281
342,126
353,146
446,233
322,129
392,178
390,202
476,273
285,115
411,265
499,393
228,86
337,175
345,207
489,366
377,171
379,171
232,66
461,251
445,229
432,222
243,65
347,138
210,50
379,163
366,152
401,188
439,223
273,91
472,247
336,121
460,259
293,97
495,285
411,209
373,157
423,203
261,79
330,134
430,218
352,146
250,78
395,181
482,271
458,240
474,245
394,179
211,57
362,160
386,179
469,247
422,211
242,71
385,165
377,150
448,238
222,53
482,271
425,212
429,208
440,226
388,171
255,81
445,237
275,93
427,220
483,256
299,102
415,203
234,62
199,53
377,161
411,193
454,235
478,260
407,197
349,144
282,99
473,264
199,48
205,50
302,113
313,119
212,51
200,49
474,258
339,133
274,92
373,166
412,204
320,111
477,262
382,174
234,69
353,140
446,241
343,136
283,97
473,267
355,150
429,204
406,181
403,196
232,62
413,197
207,21
498,96
213,18
242,23
262,27
416,84
477,99
276,33
299,36
272,32
236,20
262,28
478,106
448,74
244,33
218,20
303,35
465,86
270,31
460,90
485,97
362,40
497,109
256,23
305,43
375,56
379,58
363,56
447,80
498,111
436,64
437,81
284,27
460,81
205,22
389,71
496,91
270,25
421,64
344,51
308,46
442,85
471,106
227,20
203,22
326,41
361,56
381,69
331,47
294,37
368,48
449,72
351,47
385,63
301,37
260,26
212,21
412,64
228,26
332,41
425,86
256,27
388,52
451,86
376,51
207,16
244,29
384,67
388,68
291,37
238,28
239,20
284,31
245,25
389,60
245,25
262,36
440,87
419,80
247,29
451,78
474,97
278,31
375,59
425,54
368,64
442,72
269,29
443,78
421,76
311,34
262,32
439,75
412,73
303,40
460,87
295,35
263,24
304,36
385,64
264,33
349,44
472,95
253,22
442,78
237,24
496,109
458,102
484,80
445,79
295,35
291,32
499,116
433,80
497,98
317,34
474,90
218,19
323,37
383,56
222,21
380,61
272,40
461,79
342,45
419,78
371,50
243,23
292,38
274,35
343,49
355,62
336,39
490,102
214,20
285,34
203,16
223,25
340,45
466,93
424,71
356,52
275,29
305,37
292,31
416,75
282,38
224,22
358,48
284,29
484,99
226,23
297,36
345,54
368,60
498,101
457,80
373,52
342,52
326,46
315,44
374,57
366,57
224,27
385,62
384,58
320,36
299,36
481,91
444,76
404,67
386,65
448,83
260,26
346,50
298,45
431,74
374,54
225,27
359,55
416,60
228,23
408,72
390,70
408,67
210,18
355,65
326,55
208,21
309,41
285,29
259,70
497,298
275,81
485,280
475,272
204,39
489,287
448,242
240,58
396,182
393,181
335,126
356,141
382,188
490,293
265,74
374,181
436,232
356,147
203,40
241,60
493,294
353,137
316,106
483,280
354,136
425,209
304,98
218,46
365,156
410,194
338,132
485,297
387,179
425,211
385,169
355,147
342,132
314,112
218,47
378,166
428,221
298,100
225,52
237,57
245,63
458,250
209,44
401,200
488,290
337,130
218,44
450,242
450,243
376,162
268,73
468,274
474,264
304,100
334,125
341,139
214,42
248,61
232,52
232,52
250,65
213,45
355,146
341,134
268,76
333,128
397,180
306,104
494,294
243,64
458,253
278,83
226,49
355,142
263,73
417,206
384,172
327,119
393,180
273,84
469,255
448,242
439,226
441,225
387,176
291,92
201,38
395,186
277,83
437,231
347,135
302,97
278,84
328,120
241,61
415,202
210,50
446,234
434,222
305,104
498,306
299,96
202,38
230,55
242,56
228,50
341,132
449,240
265,71
428,223
339,132
487,280
454,246
418,203
413,203
460,270
281,83
292,91
366,152
404,193
478,282
343,135
333,125
466,265
349,139
418,205
449,234
428,214
319,115
254,69
461,252
226,48
300,96
494,296
373,159
413,196
428,215
363,149
364,149
306,100
407,193
385,169
458,255
474,269
406,201
478,283
423,211
214,42
351,138
241,58
355,144
275,83
453,241
314,111
476,269
463,253
205,40
387,175
281,80
220,51
432,215
402,189
411,200
200,38
470,268
467,259
484,288
396,185
465,267
421,219
448,238
261,69
283,86
472,268
416,207
346,137
461,257
226,50
412,198
401,369
293,198
346,280
409,383
460,483
278,179
379,333
240,140
385,342
234,129
470,505
315,229
217,110
406,487
417,397
492,550
472,507
419,400
238,133
241,135
447,460
327,248
421,407
336,262
322,239
403,371
432,426
238,131
443,447
389,347
454,469
317,233
203,98
392,352
209,101
287,190
317,231
201,94
422,410
483,532
429,422
446,455
431,423
471,505
411,389
263,161
459,485
381,335
409,382
285,188
253,148
297,203
377,345
422,408
288,191
418,400
337,260
343,269
242,137
236,131
286,188
459,484
351,286
466,613
477,518
317,231
415,392
448,458
262,159
384,337
352,284
289,195
400,370
200,95
331,254
199,93
303,214
302,211
313,226
285,187
369,312
348,280
406,376
401,367
203,96
287,190
284,185
288,191
392,351
347,281
321,239
456,477
469,501
263,160
202,94
215,108
352,283
268,166
391,348
309,219
207,99
295,200
465,492
479,523
274,176
403,396
211,104
368,313
199,92
236,130
258,153
413,390
430,421
357,293
269,166
436,433
425,419
333,254
317,230
474,519
473,513
317,231
343,270
338,262
291,195
464,491
326,244
476,516
252,147
227,119
457,476
218,110
422,409
478,523
397,361
345,275
470,505
377,326
461,485
233,126
499,568
296,202
395,357
270,180
294,201
367,310
268,168
351,283
396,359
416,394
452,467
499,567
273,172
322,243
454,469
290,193
352,284
478,527
302,212
291,196
445,452
360,297
283,191
247,141
286,189
268,166
386,340
322,238
433,427
473,509
420,402
236,131
333,257
243,137
301,211
203,97
496,560
