Tamaño,Tiempo (microsegundos)
442,168
338,128
265,93
223,76
345,120
467,166
464,163
410,144
477,169
391,135
318,109
333,114
381,132
474,166
354,123
230,77
359,124
455,159
247,84
199,66
430,151
234,79
243,81
232,78
416,144
288,102
356,124
215,71
468,165
275,94
453,164
413,144
497,178
213,71
284,98
328,112
403,162
461,162
487,172
463,162
232,77
261,87
380,132
341,118
318,108
383,130
204,69
211,69
205,68
335,115
252,84
441,156
448,155
448,156
398,138
251,86
492,174
280,97
262,88
414,145
249,84
464,164
405,144
464,163
302,104
436,155
321,109
468,165
249,83
402,140
232,77
437,153
361,124
262,89
404,139
231,77
291,100
267,90
441,155
245,82
204,68
277,96
395,137
220,76
464,163
274,95
274,104
425,154
283,97
370,129
204,68
417,145
230,77
476,168
239,79
440,154
428,148
279,97
407,156
223,90
359,112
208,63
424,135
457,144
440,140
395,123
295,93
410,131
319,100
465,147
483,153
453,142
228,70
350,109
434,138
233,71
466,147
447,141
395,127
355,109
202,60
327,103
283,87
292,90
320,99
405,126
386,121
416,130
393,123
359,111
440,140
475,151
281,88
417,131
445,141
216,65
355,110
234,72
216,65
367,114
488,155
471,150
255,77
348,108
302,94
421,133
249,77
350,110
382,117
473,151
450,142
388,120
304,94
296,93
336,104
402,127
400,124
397,124
219,66
396,123
226,70
282,87
489,156
323,116
267,82
335,105
317,97
439,140
432,135
263,82
477,151
316,99
388,120
480,151
213,67
295,91
496,161
381,118
464,148
388,120
451,143
403,126
207,63
432,138
328,103
390,120
245,75
419,132
355,111
474,151
414,133
207,63
247,75
281,86
401,126
253,77
362,113
232,71
240,72
460,146
215,68
412,134
371,119
236,75
297,97
386,124
399,130
285,91
438,145
426,138
217,68
443,146
389,127
410,133
451,148
452,147
223,70
355,116
199,62
237,75
232,74
435,147
366,119
356,115
486,161
348,114
259,89
231,74
485,163
403,133
316,104
443,148
284,93
346,114
254,82
358,122
206,66
296,97
204,66
486,162
410,136
334,110
319,110
269,88
251,81
215,71
353,116
477,162
397,131
302,103
324,106
391,129
306,99
410,137
269,89
315,103
348,116
402,133
432,145
413,137
231,75
450,150
331,109
221,71
206,66
343,113
425,142
418,139
224,72
280,91
344,112
430,145
229,74
478,159
348,116
380,124
264,87
201,64
241,78
308,102
223,71
224,72
488,163
483,163
415,137
412,136
308,100
360,118
206,67
249,80
305,98
416,139
484,162
418,138
370,125
317,103
256,82
341,129
224,72
323,107
281,85
232,70
235,70
287,87
244,73
387,118
295,89
482,148
241,72
289,86
386,117
412,125
295,88
339,104
378,113
391,119
378,113
316,96
296,89
361,109
391,119
295,88
440,137
217,64
442,135
246,75
209,62
363,109
224,68
282,84
428,134
486,150
433,135
266,80
300,90
401,123
332,100
416,128
370,111
490,155
359,109
283,88
295,88
336,101
454,142
263,79
491,152
338,102
315,95
484,151
273,84
368,111
423,129
413,128
451,141
236,70
348,107
469,145
487,150
400,124
252,75
357,111
343,103
491,152
255,75
295,90
371,113
311,94
328,98
329,99
217,65
241,71
464,146
213,64
229,69
460,142
485,150
291,96
242,73
454,141
386,116
219,66
365,110
423,131
436,134
417,128
458,141
368,112
306,91
397,121
374,113
266,80
458,142
400,122
396,121
204,61
322,96
307,93
440,135
448,138
