Tamaño,Tiempo (microsegundos)
240,17
467,38
342,27
353,30
446,37
322,24
392,32
390,31
476,42
285,23
411,31
499,42
228,18
337,29
345,25
489,39
377,30
379,28
232,17
461,40
445,37
432,35
243,20
347,26
210,16
379,31
366,28
401,31
439,40
273,20
472,38
336,27
460,35
293,23
495,41
411,30
373,31
423,37
261,19
330,25
430,37
352,30
250,19
395,32
482,40
458,36
474,40
394,30
211,16
362,32
386,30
469,38
422,35
242,18
385,32
377,30
448,37
222,16
482,43
425,34
429,37
440,34
388,31
255,18
445,35
275,23
427,35
483,42
299,23
415,37
234,17
199,15
377,31
411,33
454,37
478,45
407,33
349,26
282,22
473,38
199,13
205,15
302,27
313,24
212,16
200,18
474,37
339,29
274,20
373,28
412,36
320,70
477,43
382,32
234,17
353,28
446,36
343,27
283,21
473,36
355,27
429,31
406,32
403,31
232,18
413,33
207,50
498,89
213,36
242,59
262,36
416,58
477,40
276,27
299,33
272,51
236,36
262,23
478,77
448,113
244,18
218,27
303,49
465,82
270,69
460,71
485,58
362,67
497,54
256,49
305,29
375,55
379,115
363,72
447,81
498,75
436,48
437,41
284,30
460,84
205,24
389,50
496,139
270,44
421,89
344,64
308,29
442,84
471,85
227,80
203,44
326,53
361,55
381,36
331,47
294,50
368,112
449,67
351,127
385,67
301,31
260,71
212,27
412,51
228,41
332,31
425,59
256,50
388,138
451,44
376,165
207,49
244,23
384,38
388,51
291,26
238,18
239,29
284,59
245,26
389,50
245,46
262,28
440,52
419,46
247,32
451,113
474,108
278,96
375,78
425,77
368,40
442,79
269,45
443,57
421,80
311,96
262,46
439,41
412,96
303,28
460,69
295,37
263,31
304,59
385,43
264,22
349,208
472,47
253,70
442,38
237,53
496,105
458,107
484,103
445,100
295,51
291,29
499,78
433,39
497,79
317,86
474,59
218,33
323,36
383,80
222,24
380,52
272,26
461,168
342,60
419,41
371,61
243,101
292,49
274,39
343,35
355,66
336,53
490,80
214,35
285,33
203,22
223,20
340,34
466,120
424,86
356,49
275,24
305,49
292,46
416,141
282,55
224,27
358,43
284,150
484,137
226,108
297,66
345,51
368,70
498,167
457,90
373,125
342,40
326,76
315,88
374,83
366,73
224,49
385,45
384,56
320,86
299,48
481,55
444,149
404,62
386,32
448,73
260,39
346,59
298,29
431,63
374,42
225,33
359,40
416,59
228,17
408,51
390,36
408,60
210,32
355,30
326,42
208,28
309,63
285,112
259,19
497,45
275,22
485,48
475,39
204,13
489,49
448,95
240,18
396,44
393,39
335,26
356,35
382,34
490,52
265,19
374,28
436,40
356,30
203,14
241,17
493,80
353,28
316,26
483,59
354,28
425,41
304,24
218,17
365,27
410,41
338,31
485,44
387,42
425,38
385,32
355,29
342,29
314,22
218,15
378,27
428,34
298,23
225,16
237,17
245,21
458,37
209,13
401,41
488,38
337,25
218,16
450,39
450,39
376,27
268,20
468,38
474,41
304,32
334,29
341,29
214,14
248,22
232,16
232,16
250,17
213,15
355,38
341,25
268,18
333,31
397,30
306,24
494,75
243,18
458,35
278,19
226,15
355,30
263,19
417,33
384,32
327,25
393,32
273,18
469,55
448,36
439,41
441,43
387,34
291,21
201,14
395,32
277,19
437,34
347,38
302,24
278,22
328,25
241,16
415,32
210,14
446,37
434,44
305,31
498,53
299,20
202,14
230,16
242,17
228,16
341,25
449,35
265,21
428,42
339,26
487,51
454,41
418,32
413,39
460,33
281,22
292,23
366,44
404,30
478,40
343,26
333,29
466,45
349,33
418,34
449,40
428,43
319,29
254,23
461,37
226,16
300,22
494,41
373,31
413,36
428,34
363,27
364,28
306,24
407,39
385,43
458,48
474,43
406,30
478,44
423,37
214,14
351,38
241,18
355,31
275,20
453,36
314,23
476,83
463,41
205,14
387,34
281,23
220,15
432,33
402,31
411,38
200,15
470,42
467,42
484,49
396,64
465,41
421,36
448,36
261,22
283,22
472,95
416,37
346,32
461,37
226,16
412,34
401,437
293,230
346,318
409,444
460,570
278,209
379,386
240,156
385,394
234,148
470,585
315,264
217,127
406,441
417,461
492,643
472,594
419,468
238,154
241,157
447,530
327,287
421,473
336,300
322,277
403,429
432,494
238,165
443,634
389,468
454,546
317,268
203,112
392,407
209,119
287,220
317,269
201,109
422,472
483,627
429,500
446,537
431,496
471,587
411,449
263,185
459,560
381,386
409,449
285,222
253,173
297,237
377,381
422,474
288,221
418,467
337,306
343,313
242,156
236,150
286,219
459,560
351,331
466,581
477,606
317,272
415,461
448,533
262,184
384,392
352,356
289,222
400,527
200,171
331,460
199,167
303,382
302,381
313,402
285,337
369,556
348,489
406,674
401,672
203,174
287,344
284,336
288,348
392,635
347,492
321,427
456,867
469,742
263,186
202,111
215,125
352,329
268,192
391,405
309,256
207,116
295,232
465,572
479,612
274,204
403,438
211,122
368,368
199,107
236,152
258,178
413,475
430,491
357,339
269,193
436,505
425,481
333,299
317,271
474,598
473,591
317,268
343,312
338,304
291,225
464,570
326,283
476,602
252,174
227,139
457,558
218,127
422,473
478,605
397,418
345,316
470,584
377,377
461,569
233,147
499,662
296,234
395,415
270,196
294,236
367,359
268,194
351,329
396,418
416,463
452,561
499,683
273,201
322,279
454,547
290,225
352,330
478,605
302,244
291,226
445,533
360,353
283,217
247,166
286,220
268,191
386,398
322,281
433,499
473,591
420,467
236,150
333,297
243,162
301,251
203,123
496,663
