Tamaño,Tiempo (microsegundos)
240,110
467,388
342,212
353,226
446,355
322,188
392,276
390,286
476,403
285,150
411,302
499,442
228,97
337,205
345,216
489,427
377,258
379,259
232,102
461,379
445,355
432,336
243,109
347,218
210,84
379,260
366,242
401,289
439,344
273,138
472,396
336,207
460,377
293,160
495,442
411,303
373,252
423,321
261,127
330,199
430,331
352,226
250,116
395,281
482,417
458,375
474,407
394,281
211,84
362,240
386,273
469,395
422,321
242,112
385,267
377,256
448,358
222,92
482,415
425,325
429,332
440,350
388,289
255,122
445,356
275,140
427,325
483,416
299,163
415,310
234,103
199,75
377,257
411,304
454,368
478,407
407,304
349,221
282,149
473,400
199,75
205,79
302,169
313,180
212,85
200,76
474,403
339,209
274,138
373,252
412,308
320,188
477,411
382,262
234,102
353,227
446,356
343,215
283,148
473,397
355,229
429,329
406,296
403,291
232,100
413,305
207,75
498,428
213,80
242,101
262,121
416,296
477,389
276,136
299,155
272,130
236,97
262,121
478,392
448,351
244,104
218,84
303,159
465,371
270,125
460,362
485,405
362,226
497,423
256,120
305,170
375,242
379,252
363,231
447,344
498,426
436,326
437,325
284,142
460,361
205,75
389,265
496,423
270,127
421,308
344,208
308,198
442,353
471,381
227,90
203,71
326,183
361,223
381,253
331,194
294,153
368,234
449,347
351,210
385,253
301,156
260,118
212,79
412,292
228,91
332,190
425,314
256,114
388,258
451,350
376,242
207,76
244,106
384,255
388,259
291,146
238,102
239,100
284,141
245,104
389,259
245,103
262,122
440,329
419,302
247,107
451,352
474,385
278,133
375,246
425,313
368,234
442,340
269,126
443,337
421,312
311,168
262,120
439,331
412,291
303,159
460,365
295,154
263,118
304,164
385,259
264,124
349,214
472,384
253,111
442,338
237,97
496,427
458,363
484,406
445,337
295,152
291,145
499,431
433,349
497,427
317,172
474,388
218,84
323,184
383,255
222,86
380,250
272,130
461,368
342,201
419,303
371,237
243,102
292,147
274,131
343,202
355,214
336,197
490,413
214,81
285,143
203,73
223,87
340,198
466,376
424,312
356,221
275,130
305,161
292,149
416,300
282,136
224,88
358,221
284,141
484,404
226,87
297,154
345,207
368,242
498,442
457,357
373,240
342,204
326,182
315,175
374,240
366,232
224,89
385,255
384,254
320,177
299,158
481,400
444,338
404,286
386,260
448,345
260,119
346,206
298,152
431,322
374,240
225,87
359,224
416,300
228,91
408,287
390,261
408,287
210,76
355,221
326,186
208,76
309,167
285,141
259,124
497,440
275,140
485,418
475,402
204,78
489,426
448,359
240,108
396,281
393,279
335,204
356,230
382,263
490,427
265,131
374,253
436,340
356,230
203,77
241,109
493,434
353,225
316,182
483,415
354,227
425,391
304,219
218,123
365,300
410,352
338,266
485,590
387,372
425,447
385,381
355,334
342,309
314,263
218,127
378,375
428,481
298,236
225,137
237,152
245,190
458,548
209,119
401,421
488,621
337,299
218,129
450,517
450,522
376,366
268,189
468,562
474,575
304,241
334,292
341,301
214,121
248,163
232,142
232,145
250,166
213,121
355,326
341,304
268,188
333,287
397,403
306,243
494,621
243,158
458,538
278,204
226,136
355,330
263,186
417,332
384,269
327,199
393,295
273,173
469,529
448,485
439,454
441,463
387,318
291,156
201,76
395,285
277,142
437,356
347,218
302,173
278,144
328,224
241,114
415,336
210,89
446,400
434,340
305,176
498,445
299,172
202,79
230,99
242,110
228,97
341,210
449,362
265,131
428,328
339,209
487,472
454,423
418,348
413,306
460,387
281,161
292,168
366,242
404,293
478,408
343,213
333,200
466,388
349,221
418,369
449,377
428,358
319,186
254,119
461,378
226,97
300,165
494,432
373,253
413,306
428,328
363,238
364,241
306,171
407,309
385,320
458,439
474,404
406,304
478,439
423,320
214,86
351,233
241,109
355,227
275,138
453,367
314,180
476,404
463,453
205,79
387,306
281,155
220,90
432,343
402,301
411,303
200,76
470,394
467,388
484,417
396,284
465,386
421,331
448,373
261,143
283,171
472,415
416,311
346,233
461,435
226,95
412,306
401,270
293,144
346,211
409,281
460,354
278,130
379,271
240,132
385,263
234,102
470,399
315,167
217,91
406,287
417,297
492,421
472,372
419,294
238,98
241,98
447,334
327,180
421,297
336,200
322,233
403,282
432,372
238,134
443,333
389,254
454,435
317,170
203,70
392,258
209,74
287,142
317,169
201,69
422,299
483,391
429,309
446,408
431,350
471,381
411,283
263,117
459,353
381,243
409,280
285,137
253,109
297,149
377,239
422,297
288,140
418,294
337,190
343,204
242,130
236,103
286,142
459,396
351,208
466,442
477,381
317,170
415,288
448,352
262,115
384,247
352,208
289,140
400,269
200,69
331,183
199,69
303,161
302,172
313,169
285,151
369,250
348,212
406,282
401,270
203,70
287,139
284,140
288,139
392,259
347,203
321,174
456,347
469,377
263,118
202,70
215,78
352,209
268,122
391,283
309,162
207,73
295,150
465,408
479,389
274,132
403,307
211,104
368,245
199,68
236,94
258,113
413,285
430,309
357,216
269,122
436,318
425,303
333,195
317,239
474,497
473,507
317,255
343,223
338,195
291,144
464,359
326,179
476,385
252,109
227,87
457,439
218,81
422,317
478,471
397,309
345,319
470,531
377,347
461,534
233,101
499,414
296,148
395,261
270,122
294,146
367,226
268,121
351,211
396,321
416,295
452,394
499,416
273,132
322,175
454,344
290,142
352,209
478,381
302,154
291,142
445,331
360,216
283,136
247,103
286,138
268,121
386,251
322,182
433,378
473,373
420,295
236,95
333,185
243,101
301,152
203,71
496,410
