Tamaño,Tiempo (microsegundos)
442,52
338,36
265,27
223,22
345,36
467,50
464,50
410,46
477,52
391,42
318,33
333,35
381,41
474,53
354,37
230,23
359,38
455,50
247,24
199,20
430,47
234,24
243,24
232,23
416,45
288,30
356,37
215,21
468,52
275,29
453,49
413,44
497,54
213,21
284,30
328,34
403,43
461,50
487,53
463,50
232,28
261,26
380,40
341,37
318,33
383,41
204,21
211,22
205,20
335,35
252,25
441,47
448,49
448,49
398,43
251,26
492,54
280,28
262,27
414,44
249,25
464,53
405,43
464,50
302,31
436,46
321,33
468,52
249,24
402,44
232,24
437,47
361,40
262,26
404,44
231,23
291,30
267,27
441,47
245,25
204,21
277,28
395,44
220,22
464,51
274,29
274,29
425,47
283,29
370,41
204,20
417,45
230,22
476,51
239,25
440,48
428,46
279,29
407,44
223,22
359,26
208,14
424,30
457,37
440,36
395,28
295,20
410,28
319,22
465,32
483,38
453,33
228,16
350,25
434,34
233,15
466,33
447,40
395,30
355,23
202,11
327,25
283,19
292,18
320,22
405,29
386,28
416,28
393,26
359,25
440,31
475,38
281,19
417,28
445,30
216,13
355,24
234,17
216,14
367,26
488,35
471,37
255,17
348,23
302,21
421,31
249,17
350,23
382,28
473,34
450,35
388,29
304,22
296,21
336,24
402,30
400,29
397,28
219,14
396,28
226,16
282,19
489,34
323,24
267,16
335,22
317,22
439,33
432,33
263,16
477,33
316,20
388,26
480,36
213,13
295,19
496,36
381,26
464,33
388,26
451,31
403,30
207,13
432,32
328,25
390,27
245,16
419,30
355,26
474,37
414,30
207,13
247,15
281,19
401,29
253,15
362,28
232,15
240,15
460,33
215,22
412,45
371,39
236,22
297,30
386,39
399,48
285,29
438,46
426,45
217,20
443,46
389,40
410,45
451,51
452,50
223,22
355,37
199,19
237,24
232,22
435,53
366,38
356,38
486,51
348,34
259,24
231,24
485,52
403,43
316,35
443,46
284,28
346,36
254,24
358,38
206,19
296,30
204,19
486,53
410,49
334,34
319,31
269,28
251,25
215,20
353,34
477,56
397,44
302,31
324,30
391,43
306,30
410,46
269,26
315,33
348,35
402,43
432,50
413,42
231,23
450,49
331,33
221,21
206,19
343,35
425,46
418,52
224,21
280,29
344,34
430,45
229,22
478,52
348,37
380,53
264,26
201,19
241,23
308,31
223,21
224,21
488,54
483,62
415,42
412,41
308,31
360,35
206,20
249,25
305,32
416,44
484,54
418,45
370,42
317,30
256,27
341,35
224,21
323,32
281,16
232,12
235,12
287,16
244,12
387,22
295,17
482,26
241,13
289,17
386,22
412,23
295,17
339,19
378,21
391,22
378,21
316,18
296,17
361,20
391,23
295,17
440,25
217,11
442,25
246,12
209,10
363,20
224,11
282,16
428,24
486,26
433,24
266,15
300,19
401,22
332,19
416,23
370,21
490,27
359,20
283,16
295,17
336,19
454,25
263,14
491,28
338,19
315,18
484,26
273,16
368,21
423,23
413,23
451,25
236,12
348,20
469,28
487,26
400,22
252,12
357,20
343,19
491,27
255,13
295,17
371,21
311,18
328,19
329,20
217,11
241,12
464,26
213,11
229,11
460,25
485,27
291,17
242,12
454,25
386,21
219,11
365,22
423,23
436,24
417,23
458,25
368,21
306,17
397,22
374,21
266,15
458,25
400,24
396,22
204,10
322,18
307,17
440,25
448,25
